Series Name,Series Code,Country Name,Country Code,1990,2000,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,..,5.41431595,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,1.994395203,2.480047084
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,6.77282195,1.987695834,-4.851325046,7.204424759,4.11437856,4.18869239,3.031773371,-8.728882411,11.91627241,5.486017064,3.208068122,-2.989868795
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,-4.35,4.387949447,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,3.241655329,3.395866455
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,2.643073566,3.47467625,-0.392383488,-2.477917765,1.328726513,0.052371054,3.868844164,1.133573406,-1.590762481,-1.62833154,1.127644192,4.200372735
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,-9.117377096,4.58722551,3.397553259,3.026628931,2.745926447,2.549464347,3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839,2.810827752
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,-0.602928478,1.888473889,3.921228794,5.957976708,6.203489411,6.604569068,5.889204971,2.010772624,6.942524926,1.497239741,2.960181474,4.985103006
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,3.499822136,-0.856864058,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565324,0.327156893,3.099999999,1.848999439,2.665539604,3.489231748
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,0.692171874,14.28486885,0.936026508,4.280714827,4.55131481,3.706964583,6.947826341,-20.8052759,7.033530107,15.84367568,5.391144274,7.271881472
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,1.162311848,9.993580323,7.207034725,7.905501161,8.075039155,8.776223762,7.936950136,-3.555721934,3.089842842,5.129901108,5.007330438,6.015814574
